Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,186.2,-79.1,0,top
C2,0.1uF,C_0402_1005Metric,185,-71,90,top
C3,0.1uF,C_0402_1005Metric,175.75,-74,90,top
C4,0.1uF,C_0402_1005Metric,180.75,-83.5,-90,top
C5,0.1uF,C_0402_1005Metric,181.5,-67,90,top
C6,0.1uF,C_0402_1005Metric,174.3,-81.22,-90,top
C7,0.1uF,C_0402_1005Metric,180.4,-68.3,90,top
C8,0.1uF,C_0402_1005Metric,185.48,-75.5,0,top
C9,0.1uF,C_0402_1005Metric,185.3,-73.9,0,top
C10,1uF,C_0402_1005Metric,180.3,-70.12,90,top
C11,0.1uF,C_0402_1005Metric,183.8,-73.02,90,top
C12,0.1uF,C_0402_1005Metric,182.5,-84.82,-90,top
C13,10uF,C_0603_1608Metric,176.225,-55.5,0,top
C14,10uF,C_0603_1608Metric,177.025,-61.1,0,top
C15,33pF,C_0402_1005Metric,179.25,-85.5,90,top
C16,33pF,C_0402_1005Metric,183.25,-87.75,90,top
C17,0.1uF,C_0402_1005Metric,178,-68,0,top
D1,LED,LED_0603_1608Metric,175.2125,-63.9,0,top
D2,LED,LED_0603_1608Metric,185.6875,-55.9,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,180.04,-49.25,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,171.15,-48.22,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,188.93,-48.18,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,177.5,-96.14,90,top
R1,5.1K,R_0402_1005Metric,178.6,-55.59,-90,top
R2,5.1K,R_0402_1005Metric,181.5,-55.5,-90,top
R3,27,R_0402_1005Metric,182.3,-72.4,-90,top
R4,27,R_0402_1005Metric,181.3,-72.4,-90,top
R5,1K,R_0402_1005Metric,180.75,-86,180,top
R6,10k,R_0402_1005Metric,174.75,-72.5,90,top
R7,1k,R_0402_1005Metric,184.7,-63.21,-90,top
R8,1k,R_0402_1005Metric,177.6,-63.79,90,top
R9,470,R_0402_1005Metric,186.3,-53.41,90,top
R10,4.7k,R_0402_1005Metric,178,-65.75,0,top
R11,4.7k,R_0402_1005Metric,178,-66.75,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,184,-59.3,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,180.2,-78.17,0,top
U2,MCP1700x-330xxTT,SOT-23,177.05,-58.4375,90,top
U3,W25Q16JVSS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,177.075,-70.25,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,180,-89,180,top
