"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C10";"C_0402_1005Metric";2;"1uF";;;
2;"C2, C3, C4, C5, C6, C7, C8, C9, C11, C12, C17";"C_0402_1005Metric";11;"0.1uF";;;
3;"C13, C14";"C_0603_1608Metric";2;"10uF";;;
4;"C15, C16";"C_0402_1005Metric";2;"33pF";;;
5;"D1, D2";"LED_0603_1608Metric";2;"LED";;;
6;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
7;"J2, J3";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
8;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
9;"R1, R2";"R_0402_1005Metric";2;"5.1K";;;
10;"R3, R4";"R_0402_1005Metric";2;"27";;;
11;"R5";"R_0402_1005Metric";1;"1K";;;
12;"R6";"R_0402_1005Metric";1;"10k";;;
13;"R7, R8";"R_0402_1005Metric";2;"1k";;;
14;"R9";"R_0402_1005Metric";1;"470";;;
15;"R10, R11";"R_0402_1005Metric";2;"4.7k";;;
16;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
17;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
18;"U2";"SOT-23";1;"MCP1700x-330xxTT";;;
19;"U3";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q16JVSS";;;
20;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"12 MHz";;;
